,area_name_0,area_name_1,area_name_2,area_name_3,area_name_4,area_name_5,crm_cd,crm_cd_desc,vict_age,vict_sex_0,vict_sex_1,vict_sex_2,vict_descent_0,vict_descent_1,vict_descent_2,vict_descent_3,vict_descent_4,premis_cd,premis_desc_0,premis_desc_1,premis_desc_2,premis_desc_3,premis_desc_4,premis_desc_5,premis_desc_6,premis_desc_7,premis_desc_8,weapon_used_cd,weapon_desc_0,weapon_desc_1,weapon_desc_2,weapon_desc_3,weapon_desc_4,weapon_desc_5,weapon_desc_6,status_desc_0,status_desc_1,status_desc_2,status_desc_3,location_0,location_1,location_2,location_3,location_4,location_5,location_6,location_7,location_8,location_9,location_10,location_11,location_12,location_13,location_14,lat,lon,day_crime_occ,no_rptd_occ,Hour,Minutes,month_crime_occ,year_crime_occ
54,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",37,0,0,1,0,0,0,0,1,101.0,0,0,0,0,0,1,0,1,0,106.0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,33.9892,-118.3089,0,0,2,0,5,2017
55,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,0,1,0,0,0,0,0,1,108.0,0,0,0,0,0,0,1,1,0,101.0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,33.9892,-118.2892,3,1,17,25,9,2015
56,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,0,0,1,0,0,0,0,1,101.0,0,0,0,0,0,1,0,1,0,101.0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,33.9923,-118.3002,5,2,21,30,5,2011
57,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,0,0,1,0,0,0,0,1,109.0,0,0,0,0,1,0,1,0,1,102.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,33.9591,-118.3112,5,0,16,15,11,2019
58,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",42,0,1,0,0,0,0,0,1,501.0,0,0,0,0,0,0,0,0,1,207.0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,33.9746,-118.3046,2,0,12,30,10,2014
59,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",63,0,1,0,0,0,0,0,1,101.0,0,0,0,0,0,1,0,1,0,102.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,33.9642,-118.2739,0,1,20,30,8,2015
60,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",16,0,0,1,0,0,0,0,1,103.0,0,0,0,0,0,1,0,1,1,101.0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,33.9713,-118.2739,4,0,16,30,6,2011
61,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53,0,0,1,0,0,0,0,1,101.0,0,0,0,0,0,1,0,1,0,106.0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,33.9827,-118.3352,6,0,11,50,12,2018
62,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",47,0,0,1,0,0,0,0,1,101.0,0,0,0,0,0,1,0,1,0,200.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,33.9527,-118.309,3,0,0,15,1,2015
63,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",47,0,1,0,0,0,0,0,1,102.0,0,0,0,0,1,0,0,1,1,307.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,33.9897,-118.2915,1,0,10,0,2,2014
64,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",27,0,0,1,0,0,0,0,1,101.0,0,0,0,0,0,1,0,1,0,101.0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.9951,-118.3138,0,1,20,20,5,2011
65,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,0,1,0,0,0,0,0,1,502.0,0,0,0,0,0,0,0,1,0,302.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,33.986,-118.2843,2,0,0,50,6,2010
66,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,0,0,1,0,0,0,0,1,108.0,0,0,0,0,0,0,1,1,0,106.0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,33.9635,-118.298,6,0,20,50,11,2016
67,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",28,0,0,1,0,0,0,0,1,101.0,0,0,0,0,0,1,0,1,0,106.0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,33.9824,-118.2827,5,0,19,50,4,2017
68,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,0,0,1,0,0,0,0,1,124.0,0,0,0,0,1,0,1,1,0,304.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,33.989000000000004,-118.3352,1,0,20,15,5,2017
69,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",42,0,0,1,0,0,0,0,1,501.0,0,0,0,0,0,0,0,0,1,207.0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,33.966,-118.2761,5,1,14,30,1,2018
70,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",18,0,0,1,0,0,0,0,1,101.0,0,0,0,0,0,1,0,1,0,207.0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,33.9737,-118.3309,2,0,2,0,2,2013
71,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",33,0,1,0,0,0,0,1,0,101.0,0,0,0,0,0,1,0,1,0,307.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,33.9656,-118.2695,6,1,17,0,10,2010
72,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",51,0,0,1,0,0,0,0,1,102.0,0,0,0,0,1,0,0,1,1,207.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,33.9892,-118.3089,3,0,16,0,1,2019
73,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,0,1,0,0,0,0,0,1,501.0,0,0,0,0,0,0,0,0,1,205.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,33.9718,-118.2739,2,0,23,30,12,2015
74,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",46,0,1,0,0,0,0,1,0,502.0,0,0,0,0,0,0,0,1,0,207.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,33.9823,-118.2856,0,0,20,25,7,2016
75,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",17,0,1,0,0,0,0,0,1,502.0,0,0,0,0,0,0,0,1,0,200.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,33.9455,-118.3036,5,0,2,5,12,2013
76,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0,0,0,1,0,0,0,0,1,101.0,0,0,0,0,0,1,0,1,0,102.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,33.9842,-118.2958,2,0,9,25,8,2013
77,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",27,0,1,0,0,0,0,1,0,418.0,0,0,0,0,1,0,1,1,1,512.0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,33.9814,-118.3089,5,0,16,47,5,2019
78,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",37,0,0,1,0,0,0,0,1,102.0,0,0,0,0,1,0,0,1,1,400.0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,33.9746,-118.309,2,1,5,0,1,2015
79,0,0,0,0,0,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",17,0,1,0,0,0,0,0,1,501.0,0,0,0,0,0,0,0,0,1,500.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,33.9675,-118.2575,6,0,0,1,9,2010
